Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.8872e-05,-0.0776
-1.8868e-05,0.0456
-1.8864e-05,0.0304
-1.8860e-05,-0.0712
-1.8856e-05,0.052
-1.8852e-05,0.0176
-1.8848e-05,-0.072
-1.8844e-05,0.0624
-1.8840e-05,0.0048
-1.8836e-05,-0.068
-1.8832e-05,0.072
-1.8828e-05,-0.0064
-1.8824e-05,-0.0592
-1.8820e-05,0.0728
-1.8816e-05,-0.0192
-1.8812e-05,-0.0544
-1.8808e-05,0.0784
-1.8804e-05,-0.0296
-1.8800e-05,-0.0448
-1.8796e-05,0.0768
-1.8792e-05,-0.0352
-1.8788e-05,-0.0352
-1.8784e-05,0.0752
-1.8780e-05,-0.0432
-1.8776e-05,-0.0272
-1.8772e-05,0.0752
-1.8768e-05,-0.0552
-1.8764e-05,-0.0112
-1.8760e-05,0.0752
-1.8756e-05,-0.0632
-1.8752e-05,-0.0008
-1.8748e-05,0.0648
-1.8744e-05,-0.0688
-1.8740e-05,0.0128
-1.8736e-05,0.0584
-1.8732e-05,-0.072
-1.8728e-05,0.0208
-1.8724e-05,0.0512
-1.8720e-05,-0.0744
-1.8716e-05,0.0352
-1.8712e-05,0.0432
-1.8708e-05,-0.0784
-1.8704e-05,0.0448
-1.8700e-05,0.0304
-1.8696e-05,-0.072
-1.8692e-05,0.0512
-1.8688e-05,0.0168
-1.8684e-05,-0.068
-1.8680e-05,0.0624
-1.8676e-05,0.0064
-1.8672e-05,-0.068
-1.8668e-05,0.0656
-1.8664e-05,-0.0056
-1.8660e-05,-0.0576
-1.8656e-05,0.076
-1.8652e-05,-0.0136
-1.8648e-05,-0.0544
-1.8644e-05,0.076
-1.8640e-05,-0.0272
-1.8636e-05,-0.044
-1.8632e-05,0.0776
-1.8628e-05,-0.036
-1.8624e-05,-0.0328
-1.8620e-05,0.0744
-1.8616e-05,-0.0448
-1.8612e-05,-0.0184
-1.8608e-05,0.0776
