Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-07
Horizontal Delay,0
Sample Interval,8e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-3.7112e-06,-0.016
-3.7104e-06,0.076
-3.7096e-06,-0.104
-3.7088e-06,0.09
-3.7080e-06,-0.024
-3.7072e-06,-0.038
-3.7064e-06,0.088
-3.7056e-06,-0.1
-3.7048e-06,0.07
-3.7040e-06,0.002
-3.7032e-06,-0.064
-3.7024e-06,0.102
-3.7016e-06,-0.094
-3.7008e-06,0.046
-3.7000e-06,0.024
-3.6992e-06,-0.078
-3.6984e-06,0.108
-3.6976e-06,-0.08
-3.6968e-06,0.026
-3.6960e-06,0.048
-3.6952e-06,-0.092
-3.6944e-06,0.102
-3.6936e-06,-0.062
-3.6928e-06,0.002
-3.6920e-06,0.07
-3.6912e-06,-0.104
-3.6904e-06,0.096
-3.6896e-06,-0.04
-3.6888e-06,-0.02
-3.6880e-06,0.086
-3.6872e-06,-0.104
-3.6864e-06,0.08
-3.6856e-06,-0.012
-3.6848e-06,-0.048
-3.6840e-06,0.092
-3.6832e-06,-0.098
-3.6824e-06,0.066
-3.6816e-06,0.008
-3.6808e-06,-0.062
-3.6800e-06,0.104
-3.6792e-06,-0.092
-3.6784e-06,0.038
-3.6776e-06,0.03
-3.6768e-06,-0.082
-3.6760e-06,0.108
-3.6752e-06,-0.076
-3.6744e-06,0.02
-3.6736e-06,0.058
-3.6728e-06,-0.094
-3.6720e-06,0.096
-3.6712e-06,-0.052
-3.6704e-06,-0.008
-3.6696e-06,0.068
-3.6688e-06,-0.102
-3.6680e-06,0.092
-3.6672e-06,-0.034
-3.6664e-06,-0.03
-3.6656e-06,0.09
-3.6648e-06,-0.1
-3.6640e-06,0.072
-3.6632e-06,-0.006
-3.6624e-06,-0.056
-3.6616e-06,0.102
-3.6608e-06,-0.094
-3.6600e-06,0.054
-3.6592e-06,0.016
-3.6584e-06,-0.076
-3.6576e-06,0.102
-3.6568e-06,-0.084
-3.6560e-06,0.03
-3.6552e-06,0.044
-3.6544e-06,-0.092
-3.6536e-06,0.104
-3.6528e-06,-0.066
-3.6520e-06,0.008
-3.6512e-06,0.06
-3.6504e-06,-0.1
-3.6496e-06,0.092
-3.6488e-06,-0.046
-3.6480e-06,-0.018
-3.6472e-06,0.082
-3.6464e-06,-0.102
-3.6456e-06,0.084
-3.6448e-06,-0.024
-3.6440e-06,-0.04
-3.6432e-06,0.094
-3.6424e-06,-0.1
-3.6416e-06,0.068
-3.6408e-06,0
-3.6400e-06,-0.062
-3.6392e-06,0.1
-3.6384e-06,-0.094
-3.6376e-06,0.048
-3.6368e-06,0.024
-3.6360e-06,-0.078
-3.6352e-06,0.106
-3.6344e-06,-0.08
-3.6336e-06,0.024
-3.6328e-06,0.048
-3.6320e-06,-0.092
-3.6312e-06,0.102
-3.6304e-06,-0.062
-3.6296e-06,-0.002
-3.6288e-06,0.068
-3.6280e-06,-0.1
-3.6272e-06,0.09
-3.6264e-06,-0.04
-3.6256e-06,-0.024
-3.6248e-06,0.088
-3.6240e-06,-0.098
-3.6232e-06,0.078
-3.6224e-06,-0.014
-3.6216e-06,-0.05
-3.6208e-06,0.1
-3.6200e-06,-0.1
-3.6192e-06,0.062
-3.6184e-06,0.008
-3.6176e-06,-0.072
-3.6168e-06,0.104
-3.6160e-06,-0.088
-3.6152e-06,0.036
-3.6144e-06,0.032
-3.6136e-06,-0.084
-3.6128e-06,0.106
-3.6120e-06,-0.074
-3.6112e-06,0.016
-3.6104e-06,0.052
-3.6096e-06,-0.094
-3.6088e-06,0.098
-3.6080e-06,-0.054
-3.6072e-06,-0.008
-3.6064e-06,0.074
-3.6056e-06,-0.102
-3.6048e-06,0.088
-3.6040e-06,-0.03
-3.6032e-06,-0.034
-3.6024e-06,0.086
-3.6016e-06,-0.108
-3.6008e-06,0.074
-3.6000e-06,-0.01
-3.5992e-06,-0.058
-3.5984e-06,0.098
-3.5976e-06,-0.096
-3.5968e-06,0.048
-3.5960e-06,0.016
-3.5952e-06,-0.076
-3.5944e-06,0.102
-3.5936e-06,-0.084
-3.5928e-06,0.028
-3.5920e-06,0.038
-3.5912e-06,-0.092
-3.5904e-06,0.108
-3.5896e-06,-0.068
-3.5888e-06,0.008
-3.5880e-06,0.064
-3.5872e-06,-0.096
-3.5864e-06,0.098
-3.5856e-06,-0.05
-3.5848e-06,-0.018
-3.5840e-06,0.078
-3.5832e-06,-0.102
-3.5824e-06,0.084
-3.5816e-06,-0.024
-3.5808e-06,-0.038
-3.5800e-06,0.088
-3.5792e-06,-0.102
-3.5784e-06,0.066
-3.5776e-06,0
-3.5768e-06,-0.062
-3.5760e-06,0.1
-3.5752e-06,-0.09
-3.5744e-06,0.044
-3.5736e-06,0.028
-3.5728e-06,-0.08
-3.5720e-06,0.1
-3.5712e-06,-0.074
-3.5704e-06,0.024
-3.5696e-06,0.05
-3.5688e-06,-0.092
-3.5680e-06,0.1
-3.5672e-06,-0.06
-3.5664e-06,-0.002
-3.5656e-06,0.066
-3.5648e-06,-0.098
-3.5640e-06,0.092
-3.5632e-06,-0.038
-3.5624e-06,-0.026
-3.5616e-06,0.088
-3.5608e-06,-0.102
-3.5600e-06,0.08
-3.5592e-06,-0.014
-3.5584e-06,-0.048
-3.5576e-06,0.096
-3.5568e-06,-0.094
-3.5560e-06,0.062
-3.5552e-06,0.01
-3.5544e-06,-0.068
-3.5536e-06,0.104
-3.5528e-06,-0.088
-3.5520e-06,0.038
-3.5512e-06,0.032
-3.5504e-06,-0.086
-3.5496e-06,0.1
-3.5488e-06,-0.074
-3.5480e-06,0.016
-3.5472e-06,0.056
-3.5464e-06,-0.098
-3.5456e-06,0.1
-3.5448e-06,-0.052
-3.5440e-06,-0.012
-3.5432e-06,0.074
-3.5424e-06,-0.1
-3.5416e-06,0.092
-3.5408e-06,-0.032
-3.5400e-06,-0.036
-3.5392e-06,0.096
-3.5384e-06,-0.098
-3.5376e-06,0.07
-3.5368e-06,-0.002
-3.5360e-06,-0.058
-3.5352e-06,0.096
-3.5344e-06,-0.094
-3.5336e-06,0.05
-3.5328e-06,0.022
-3.5320e-06,-0.074
-3.5312e-06,0.1
-3.5304e-06,-0.082
-3.5296e-06,0.032
-3.5288e-06,0.038
-3.5280e-06,-0.09
-3.5272e-06,0.104
-3.5264e-06,-0.06
-3.5256e-06,0.004
-3.5248e-06,0.06
-3.5240e-06,-0.1
-3.5232e-06,0.098
-3.5224e-06,-0.046
-3.5216e-06,-0.022
-3.5208e-06,0.082
-3.5200e-06,-0.104
-3.5192e-06,0.082
-3.5184e-06,-0.022
-3.5176e-06,-0.046
-3.5168e-06,0.096
-3.5160e-06,-0.102
-3.5152e-06,0.062
-3.5144e-06,0.004
-3.5136e-06,-0.062
-3.5128e-06,0.104
-3.5120e-06,-0.09
-3.5112e-06,0.044
-3.5104e-06,0.024
-3.5096e-06,-0.084
-3.5088e-06,0.108
-3.5080e-06,-0.074
-3.5072e-06,0.022
-3.5064e-06,0.046
-3.5056e-06,-0.094
-3.5048e-06,0.1
-3.5040e-06,-0.062
-3.5032e-06,-0.004
-3.5024e-06,0.074
-3.5016e-06,-0.104
-3.5008e-06,0.088
-3.5000e-06,-0.034
-3.4992e-06,-0.026
-3.4984e-06,0.088
-3.4976e-06,-0.1
-3.4968e-06,0.072
-3.4960e-06,-0.012
-3.4952e-06,-0.05
-3.4944e-06,0.102
-3.4936e-06,-0.096
-3.4928e-06,0.056
-3.4920e-06,0.01
-3.4912e-06,-0.072
-3.4904e-06,0.104
-3.4896e-06,-0.092
-3.4888e-06,0.034
-3.4880e-06,0.036
-3.4872e-06,-0.088
-3.4864e-06,0.1
-3.4856e-06,-0.07
-3.4848e-06,0.016
-3.4840e-06,0.056
-3.4832e-06,-0.098
-3.4824e-06,0.1
-3.4816e-06,-0.046
-3.4808e-06,-0.01
-3.4800e-06,0.074
-3.4792e-06,-0.108
-3.4784e-06,0.088
-3.4776e-06,-0.024
-3.4768e-06,-0.042
-3.4760e-06,0.092
-3.4752e-06,-0.098
-3.4744e-06,0.07
-3.4736e-06,-0.004
-3.4728e-06,-0.058
-3.4720e-06,0.1
-3.4712e-06,-0.092
-3.4704e-06,0.056
-3.4696e-06,0.024
-3.4688e-06,-0.076
-3.4680e-06,0.106
-3.4672e-06,-0.08
-3.4664e-06,0.028
-3.4656e-06,0.046
-3.4648e-06,-0.092
-3.4640e-06,0.106
-3.4632e-06,-0.064
-3.4624e-06,0
-3.4616e-06,0.062
-3.4608e-06,-0.098
-3.4600e-06,0.096
-3.4592e-06,-0.04
-3.4584e-06,-0.024
-3.4576e-06,0.08
-3.4568e-06,-0.106
-3.4560e-06,0.082
-3.4552e-06,-0.018
-3.4544e-06,-0.048
-3.4536e-06,0.092
-3.4528e-06,-0.104
-3.4520e-06,0.06
-3.4512e-06,0
-3.4504e-06,-0.066
-3.4496e-06,0.104
-3.4488e-06,-0.092
-3.4480e-06,0.04
-3.4472e-06,0.028
-3.4464e-06,-0.084
-3.4456e-06,0.104
-3.4448e-06,-0.072
-3.4440e-06,0.018
-3.4432e-06,0.048
-3.4424e-06,-0.096
-3.4416e-06,0.098
-3.4408e-06,-0.058
-3.4400e-06,-0.006
-3.4392e-06,0.07
-3.4384e-06,-0.1
-3.4376e-06,0.092
-3.4368e-06,-0.036
-3.4360e-06,-0.03
-3.4352e-06,0.088
-3.4344e-06,-0.104
-3.4336e-06,0.076
-3.4328e-06,-0.006
-3.4320e-06,-0.06
-3.4312e-06,0.098
-3.4304e-06,-0.096
-3.4296e-06,0.054
-3.4288e-06,0.012
-3.4280e-06,-0.074
-3.4272e-06,0.104
-3.4264e-06,-0.086
-3.4256e-06,0.034
-3.4248e-06,0.042
-3.4240e-06,-0.09
-3.4232e-06,0.106
-3.4224e-06,-0.07
-3.4216e-06,0.008
-3.4208e-06,0.06
-3.4200e-06,-0.098
-3.4192e-06,0.096
-3.4184e-06,-0.046
-3.4176e-06,-0.016
-3.4168e-06,0.078
-3.4160e-06,-0.102
-3.4152e-06,0.088
-3.4144e-06,-0.028
-3.4136e-06,-0.04
-3.4128e-06,0.092
-3.4120e-06,-0.102
-3.4112e-06,0.068
-3.4104e-06,0
-3.4096e-06,-0.06
-3.4088e-06,0.096
-3.4080e-06,-0.094
-3.4072e-06,0.05
-3.4064e-06,0.024
-3.4056e-06,-0.084
-3.4048e-06,0.1
-3.4040e-06,-0.082
