Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0
Label,
TIME,CH1
-7.886e-06,0.072
-7.884e-06,0.068
-7.882e-06,0.004
-7.880e-06,-0.04
-7.878e-06,-0.04
-7.876e-06,0.004
-7.874e-06,0.068
-7.872e-06,0.068
-7.870e-06,-0.024
-7.868e-06,-0.048
-7.866e-06,-0.04
-7.864e-06,0.008
-7.862e-06,0.076
-7.860e-06,0.052
-7.858e-06,-0.024
-7.856e-06,-0.048
-7.854e-06,-0.032
-7.852e-06,0.036
-7.850e-06,0.092
-7.848e-06,0.04
-7.846e-06,-0.04
-7.844e-06,-0.072
-7.842e-06,-0.032
-7.840e-06,0.044
-7.838e-06,0.088
