Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,1.63196e-06
Sample Interval,4e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.1
Label,
TIME,CH1
-1.81892e-05,0.049
-1.81888e-05,0.089
-1.81884e-05,0.007
-1.81880e-05,-0.085
-1.81876e-05,-0.057
-1.81872e-05,0.053
-1.81868e-05,0.089
-1.81864e-05,0.007
-1.81860e-05,-0.081
-1.81856e-05,-0.061
-1.81852e-05,0.045
-1.81848e-05,0.091
-1.81844e-05,0.009
-1.81840e-05,-0.083
-1.81836e-05,-0.059
-1.81832e-05,0.047
-1.81828e-05,0.089
-1.81824e-05,0.009
-1.81820e-05,-0.083
-1.81816e-05,-0.065
-1.81812e-05,0.043
-1.81808e-05,0.093
-1.81804e-05,0.013
-1.81800e-05,-0.081
-1.81796e-05,-0.061
-1.81792e-05,0.043
-1.81788e-05,0.097
-1.81784e-05,0.015
-1.81780e-05,-0.083
-1.81776e-05,-0.063
-1.81772e-05,0.045
-1.81768e-05,0.097
-1.81764e-05,0.017
-1.81760e-05,-0.079
-1.81756e-05,-0.063
-1.81752e-05,0.041
-1.81748e-05,0.099
-1.81744e-05,0.023
-1.81740e-05,-0.077
-1.81736e-05,-0.067
-1.81732e-05,0.041
-1.81728e-05,0.097
-1.81724e-05,0.025
-1.81720e-05,-0.073
-1.81716e-05,-0.067
-1.81712e-05,0.035
-1.81708e-05,0.091
-1.81704e-05,0.021
-1.81700e-05,-0.079
-1.81696e-05,-0.073
-1.81692e-05,0.029
-1.81688e-05,0.091
-1.81684e-05,0.027
-1.81680e-05,-0.067
-1.81676e-05,-0.067
-1.81672e-05,0.033
-1.81668e-05,0.095
-1.81664e-05,0.033
-1.81660e-05,-0.071
-1.81656e-05,-0.071
-1.81652e-05,0.035
-1.81648e-05,0.095
-1.81644e-05,0.031
-1.81640e-05,-0.073
-1.81636e-05,-0.073
-1.81632e-05,0.031
-1.81628e-05,0.093
-1.81624e-05,0.029
-1.81620e-05,-0.071
-1.81616e-05,-0.079
